variety,mean_variety
Trepat,29.0
Trincadeira,24.08695652173913
Trollinger,26.5
Trousseau,30.166666666666668
Trousseau Gris,29.666666666666668
Tsapournakos,27.0
Tsolikouri,16.0
Turbiana,24.958041958041957
Tămâioasă Românească,16.5
Ugni Blanc,26.333333333333332
Ugni Blanc-Colombard,14.777777777777779
Uva di Troia,30.615384615384617
Uvalino,30.0
Valdiguié,20.666666666666668
Valvin Muscat,18.0
Veltliner,31.75
Verdeca,17.25
Verdejo,17.61231884057971
Verdejo-Sauvignon Blanc,13.6
Verdejo-Viura,15.136363636363637
Verdelho,20.0
Verdicchio,23.69333333333333
Verdil,17.0
Verdosilla,11.0
Verduzzo,42.0
Verduzzo Friulano ,53.666666666666664
Vermentino,22.647668393782382
Vermentino Nero,59.0
Vernaccia,21.429752066115704
Vespaiolo,50.0
Vespolina,23.0
Vidadillo,35.0
Vidal,34.18181818181818
Vidal Blanc,30.653061224489797
Vignoles,25.09090909090909
Vilana,20.75
Vinhão,34.5
Viognier,24.9171974522293
Viognier-Chardonnay,15.857142857142858
Viognier-Gewürztraminer,16.0
Viognier-Grenache Blanc,30.666666666666668
Viognier-Marsanne,26.666666666666668
Viognier-Roussanne,28.857142857142858
Viognier-Valdiguié,21.0
Viosinho,23.4
Vitovska,71.33333333333333
Viura,14.191489361702128
Viura-Chardonnay,12.666666666666666
Viura-Verdejo,14.5
Vranac,14.0
Vranec,22.0
Weissburgunder,26.428571428571427
Welschriesling,34.75
White Blend,23.240951908775408
White Port,76.0
White Riesling,23.818181818181817
Xarel-lo,17.0
Xinisteri,40.0
Xinomavro,28.35483870967742
Xynisteri,20.5
Yapincak,15.5
Zibibbo,40.357142857142854
Zierfandler,31.083333333333332
Zierfandler-Rotgipfler,28.0
Zinfandel,31.084178880120255
Zlahtina,20.0
Zweigelt,24.352601156069365
Çalkarası,17.0
Žilavka,19.0
